태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
조용히해,정신병자 천국이구나,재앙이한건햇노|1,목자르는 동영상,쥐랄,페미니스트,,"""개새"",",10밸늠,10할연,10쎄,ㅂ신아,ㄴㅇㅁ
ㅋㅋ 니앰,깍새들이 시발 존나강요하더라,글쓴이 와꾸 승리에 비하면 방사능 피폭 원숭이 일듯..|1,김선일동영상,wlfkf,소시오새끼,,"""개새기"",",10버지,18넘,10알,ㅆㅂ,니엄쩔
느금마 하이드로펌프 쩔더라,리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데,마 씨발련 아 몇평이고 맷개드갔노 니 대하이햄하고 해밨나|1,김선일 동영상,qudtls,사이코새끼,,"""개새끼"",",10새기,18년,10창,ㅅㅂ,씨발
씨발 쇠꼬챙이였노,틀딱 씨발새끼들아 다꺼져라 냄새나니까,은행에 대출 상담 받으러 가보면 직업의 귀천 바로 알려줌|0,007섹스샵,병신,사이코새1끼,,"""개새키"",",10새끼,18놈,10탱,ㅄ,시발
창녀,내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.,ㅋㅋㅋㅋㅋ|0,007섹스티브이,니애미,소시오새1끼,,"""개색기"",",10새리,18눔,18것,ㄷㅊ,ㅅ발
디시충 김태영,원래 수준이 그래,ㄹㅇㅋㅋㅋ|0,007섹스티비,느금,느엄,,"""개색끼"",",10새야,18늠,18넘,ㅄㄴㅇ,ㅆ발
아프리카 원주민,전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나  셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그  6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음,우리지역군데 금태섭 뽑으면 안되지? 그래도 자한당 뻡아야겠지?|0,009sex,뒤져,섹1스,,"""개색키"",",10새퀴,18세끼,18년,ㄴㅇㅁ,ㅅㅂ
현재 댓글보면서,짱깨들 말하는 거임? 짱깨국이 무상의료라고?,꽃다발사들고 알바하는곳찾아가서 무릎꿇고 '내 마음을 받아줄래 지영아?' 하면 바로 넘어온다 여자들 이런거 존나좋아함|1,016섹스닷컴,뿌ㅏ,조랄,,"""개색히"",",10섹,18쉑끼,18노,ㅂㄹㅈ년아,ㅄ
욕설 적고있죠,빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ,박근혜 안빠는데 보수통합 3원칙 인정함 |1,1004성인용품,니애미 내여친,마더뻐커,,"""개섀끼"",",10쉑,18쎄리,18놈,걸레년,ㅂㅅ
,시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ,대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공|1,100boG,좆까,wlfkf,,"""개세"",",10쎄끼,18쒜리,18뇬,ㅅㅂㅅㄲ,병신
,니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ,백정주제에 라고하는걸 비하라고 느낀다면 본인조차 직업에 자부심이 없는건데 |0,100bozy,족까,duaqud,,"""개세끼"",",10쎈치,18쒝끼,18럼,개ㅐㅅ끼야,병1신ㅋㅋ
,꼴리지는 않고 그냥 존나 귀엽다,이게 다 백인 탓이랑께|0,10sextv,애비,whwRk,,"""개세이"",",10쎝치,18씨끼,18롬,ㅈ나,ㅄ새끼
,크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ,뭐저런 골빈 ㄴ이 다있냐 ㅋㅋㅋ 저런게 학원강사라고? 애들이 불쌍|1,10섹스티브이,ㅗ,Tlqkf,,"""개소리"",",10앨넘,2c8,18새,ㅈ만한새끼,ㅄ년
,그러니깐 딜도로 쑤셔박아야한다는거지?,마감시간 다돼서 떨이하는 고기 사먹으면 식중독 518퍼네아 오래 된 것도 새 거처럼 둔갑해서 다음날 팔테니 떨이라는 개념이 아예 없을라나 |0,114성인용품,ㅗㅗ,smrma,,"""개쇳기"",",10앨놈,2c팔,18새끼,어머니 만수무강,ㅄ련
꼬3,그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,열사발 들이켜도 아깝지 않음|0,18sex,ㅗㅗㅗ,your mom,,"""개수작"",",10앨늠,갈보,18색,ㅅㅂㄹㄴ,앰뒤
,미쳤나 진짜 시발,정신병자 천국이구나|1,18sexTV,ㅗㅗㅗㅗ,your mother,,"""개쉐"",",10이다,강간,18세끼,,놈
,진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ,으따 옷 이딴건 필요 없당깨 현금으로 달랑깨 !|0,18x,ㅗㅗㅗㅗㅗ,you gay,,"""개쉐리"",",10창,개넘,18세리,,년
,질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 풀고....,?|0,21섹스넷,ㅗㅗㅗㅗㅗㅗ,smrmaak,,"""개쉐이"",",10챵,개년,18섹,,련
,앞머리 좀 자르던가 ㅅㅂ,난 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 모든 아이디/비번 / 계좌정보 등등 다 들어 있고이 엑셀 파일에 비번만 기억함|0,24에로라이브,ㅗㅗㅗㅗㅗㅗㅗ,니me,,"""개쉑"",",10탱,개놈,18쉑,,새끼
,그때 조언했으면 멱살부터 잡을놈이ㅋㅋ,깍새들이 시발 존나강요하더라|1,25라이브섹스,뒤져라,중지발기,,"""개쉽"",",10팔년,개뇬,18스,,새1끼
,대구경북 당선조건 : 매국노,리뷰쓴 새끼가 쓰레기 맞지저건 ㅋㅋㅋ 존나 악랄하게 사진찍어 올리는데|1,33sexymall,fuch,무능지새끼,,"""개스끼"",",10팔놈,개눔,18아,,ㅅ1ㅂ
,개찐따 답네 ㅋㅋㅋㅋㅋㅋ,ㅋㅋ ㅇㅈ 저런거에 앉아어 감전사 당할 수도|0,365섹스웹,fuck,탈모새끼,,"""개시키"",",10팔뇬,개늠,ㄱㅐ,,씹
,노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 어릴적 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 보람도 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 알고 살자,틀딱 씨발새끼들아 다꺼져라 냄새나니까|1,365포르노,fuck u,무정자증,,"""개십새기"",",10팔색,개때꺄,ㄲㅏ,,뒤졌나?
,와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여,근데 그것 요즘 살짝 트렌드 지났더라.|0,365포르노테잎,fucking,고자,,"""개십새끼"",",10팔섹,개때끼,ㄲㅑ,,엄준식
,ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ,군대에서 여군이 필요한가|0,386섹시매거진,fuck you,병신과 머저리,,"""개쌔끼"",",10팔쉑,개또라이,ㄲㅣ,,애1미
,정치인위에 문재앙,ㅋㅋ복수할겨|0,3sextv,잼민이 새끼,틀,,"""개쐑"",",10팔연,개똥,ㅅㅂㄹㅁ,,안될거뭐있노?
,무게치는거에 인생버린새끼들,내가 세금 안내면 너 같은 동사무소에서 프린트나 하는 새끼는 월급 못받고 굶어 뒈져야 돼 병신새끼야.|1,4SEX,탈모년,,,"""개쑈"",",10할년,개보지,ㅅㅐ,,섹스
,가세연에서 정규재 위장보수 분탕이라고 좆나깜 ㅋㅋㅋㅋㅋ,면도 뭔 스머프모자 쓰고왓네|0,4changamolca섹스코리아,개년,,,"""개씹"",",10할연,개부랄,ㅆㅂㄹㅁ,,뷰지
,이봐요 미친놈씨,사형 예지!|0,4kkasi,죽인다,,,"""개아들"",",18sus,개부럴,ㅆㅍ,,자지
,여자들 물뽕 처먹여 강간하고 동영상 찍은게 죄가 아니었구나 ㅋㅋ버닝썬이  중국 삼합회 자금 세탁소라면서?,당연히 많이볼수밖에...|0,588,곧휴,,,"""개자슥"",",18x,개불알,ㅆㅣ,,보지
,키 170 27살 따먹은여자 23명 ㅁㅌㅊ?,흑종원 ㅋㅋㅋㅋㅋㅋㅋㅋ|0,588show,느개비,,,"""개자식"",",18넘,개새,ㅆ앙,,좆
,막상 마주치면 쫄보 새끼 마냥 쳐다도 못 볼 새끼가 조디만 살아가 ㅋㅋㅋ,#ERROR!,588섹스코리아,틀딱,,,"""개접"",",18년,개새꺄,ㅍㅏ,,후장
,저런 도로에서 정차 하는거 봤냐? 당연히 저상황이면 4p가 아니라 브렘보 조상님이 와도 못세움. 내말은 최소 50키로 이상은 달릴꺼라고 가정하고 같이 도로를 공유하는건데. 시발럼아 그리고 저 사고는 차간거리가 문제가 아니야. 정차가 불가능한 도로에서 선건데 씨발. 참고로 블박차도 무적권 과실은 잡힘. 내가 말하는 적당함이라는건 사회적으로 용납이 가능한 암묵적인 룰 같은거지,원래 수준이 그래|1,588섹스코리아성인방송,도비년,,,"""개좆"",",18놈,개새끼,凸,,짱깨
,거짓말아니고 소방관들 저런거 존나 흔하다내가 입 털어도 몇 명 구속되겠네개방관들 진짜 개새끼들임,호주에서는 남자들이 동물보다 못한존재라던데ㅋㅋ|0,588섹스티비,미ㅣ,,,"""개좌식"",",18뇬,개새리, 갈보,,빡대가리
,박정희만세 문재인 개새끼 김대중씨발새끼 전라도 폭동,나베가 나베했네요!|0,588포르노,미친년,,,"""개처럼"",",18눔,개새야,갈보년,,빡머가리
,빠따로 전신마사지해주는데 모든사람들이 너무 기분좋았는지 엎드려서 잠만자더라,전에 제주도 여행 갔는데 폭포 앞에 사진 잘나오는 포토존에서 사진 찍는거 기다렸는데 앞의 6명의 짱게이 때문에 짜증남먼저 6명 각자 한장씩 찍음다음 번갈아 가면서 둘이나 셋이서 짝 지어서 찍음 정말 끝나서 싶어 찍을려고 하니 그 6명이 다 모여서 포즈 바꿔가면서 또 사진 찍음이지랄 하고 있음|1,5sexshop,니미,,,"""개허접"",",18늠,개색,강아지,,한남
,1절만해라 짤게에 또 글올리지말고 ㅋㅋㅋ,행함이 없어도 불경건한 자를 의롭다 하시는 그분을 믿는 사람에게는 그의 믿음이 의로 여겨지느니라.|0,69Time,니비,,,"""갱뱅"",",18새,개색기,같은년,,소추
,와 근데 너가 만약 짤같은 상황에서 성공하면 존나 꼴릴것같다.,짱깨들 말하는 거임? 짱깨국이 무상의료라고?|1,69XY성인디렉토리,니얼굴,,,"""걔새"",",18새끼,개색꺄,같은뇬,,한녀
,극혐이노 ㅅㅂ ㅋㅋㅋㅋ,빡대가리들에게 방법을 가르쳐주시면 ㅠㅜ|1,69n69성인몰,니 얼굴,,,"""걔수작"",",18세끼,개색끼,개같은,,틀딱
,공지이잉 ㅅㅂㅋㅋㅋ,누가 뭐래냐?|0,69sex,니 면상,,,"""걔시끼"",",18섹,개색히,개구라,,잼민이
,시스템은? 다 지 좆꼴리는대로 무법천지지,시발 정작 지네들 자식은 몸쓰는일 안시킬거면서 개지랄떠네 ㅋㅋㅋ|1,69timepornsex,니 왁꾸,,,"""걔시키"",",18쉐,개샥,개년,,니엄마
,일베새끼들은 그냥 무식한거 맞네 ㅋㅋ,용접협회 무시하지 마라. 저기 현장 고수및 용접에 관한 전문지식 가진 대학 교수 학자들 모임이다. 파워력 쎄다.|0,69섹스코리아,니 왁꾸 ,,,"""걔썌"",",18쉑,개세,개놈,,개돼지
,내가 시키는거 가능? 닭 병신 종북짓한 병신 ㅇㅇ 해봐 ㅋㅋㅋ,너도 해|0,69클럽TV,좆지랄,,,"""거시기"",",18시끼,개세끼,개뇬,,엄뒤련
,꺼져라 씨발 검머외 새끼들아,안하는 애들도 결국 학업에 흥미를 못 느꼈다는거니까|0,섹스코리아,-틀-,,,"""걸레"",",18시키,개세이,개대중,,개씨발
,나도 존나맛없어서 다 버리고 햄버거 시킨거 리뷰 올린적 있는데? 내꺼 찾아서 보내도 레전드겠노ㅋㅋㅋㅋ씨발 맛없는 음식점은 다 장사접고 나가 죽어야함,니들 틀딱들 닭빨고 진빨고 중국빨고 그때그때 빠는새끼들임 닭이 친중하면 중국도 빨고 오성홍기절하고 아님? 억울하면 논리적으로 반박을 해 ㅋ|1,ADULTMANA,닥쳐,,,"""게색기"",",18쎄리,개섹,개독,,어매터진련
,눈주변 시컴한 인간들치고 정상인 없더라,그냥 홀딩하세요|0,AVmolca,shut up,,,"""게색끼"",",18쒜끼,개섺,개돼중,,어매
,대가리를 밟혀봐야 정신드는 유형,만 나이 공식화도|0,AV갤러리,뒤져,,,"""고추"",",18쒜리,개셃,개랄,,저새끼뭐야?
,왜 연돈만 저지랄이냐? 예전에 그 튀김덮밥집도 존나 칭찬했는데 거기도 줄서냐,꼴리지는 않고 그냥 존나 귀엽다 |1,AV재팬,뒈져라,,,"""고츄"",",18쒝끼,개셋키,개보지,,갮샚낎
,전라남도 안정권 홍어새끼 좆이나 빠는새끼가 가세연을 까노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,그냥 선거철에 지 지지자 결집시키는거임 자기 지지층엔 아시아인이 별로 없고 이민자들 싫어하는 사람들이 대부분이니까|0,AdultSearch,된장년,,,"""곧츄"",",18씨끼,개셐,개뻥,,버러지년
,선동질  당하는  니네가  불쌍타 ㅠ,오마쥬가 뭔진 앎?|0,AdultSexshop,김치년,,,"""곧휴"",",18운영자,개소리,개뿔,,버1러지
,제발 못배운티좀 내지말아라,4카 성공|0,Adulthumor,걸레년,,,"""곶츄"",",2C8,개쇄끼,개새,,버러1지
,아니 시발 이걸 정보라고,쓰레기들은 휴지통으로|0,Adultzone,호쌍세,,,"""곶휴"",",2C팔,개쇅,개새기,,버러지
,자원으로 연명하는 나라라서 교육수준이 ㄱㅆㅎㅌㅊ임,크로캅이 본야스키 개털던거 생각나네 ㅋㅋㅋㅋㅋㅋ진짜 개잡듯 잡아팼지 ㅋㅋㅋㅋ전직 은행원 본야스키 ㅋ|1,Bojyty,호로,,,"""광뇬"",",2girls1cup,개쇅갸,개새끼,,없냐?
,개븅신 저능아는 너고 이 병신 새끼야 ㅋㅋㅋㅋㅋㅋㅋㅋ,용팔이|0,Bozicam,쌍논,,,"""구녕"",",2씨8,개쇅기,개새키,,애미뒤진련아
,딴따라들 노가다 딱한번 뛰고오면 자살같은건 배부른걸 느낄건데,그러니깐 딜도로 쑤셔박아야한다는거지?|1,GO588TV,쌍놈,,,"""구라"",",4KKASI,개쇅꺄,개색기,,엄마뒤진련아
,어차피 여자는 성공한 남자의 전리품에 불과하다,그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?|1,GO섹시클럽,쌍년,,,"""구멍"",",4까C,개쇅끼,개색끼,,개터졌노
,뚜렛사슴 ㅁㅊㄴㅋㅋㅋㅋ 잘봤다 나도 주위 눈치가보여서그렇지 일본여행가고싶어 죽겠다 추운날 온천담그고싶노,미쳤나 진짜 시발|1,HOTWEB,엠창년,,,"""그년"",",4까시,개쇅캬,개색키,,ㅈㄴ
,개새끼가 처음에 잠복한거 다 알아보고 할수없이 놀아주는거네 ㅋㅋ속으로 하...저병신년 또 저지랄이네 했을듯,"나 키 183인데 사람들끼리있을때 누가 자기키 177이라하면 나는 ""어? 내키는 175인데?""해주면 주변사람들이 오오 너희 둘이 키재봐라 하는데 키재면 내가 더큼 ㅋㅋㅋ 슬퍼하는모습보는거 개꿀잼|0",HOTZONE,인망세,,,"""그새끼"",",69전문,개쇅키,개색히,,ㅈ1ㄴ
,"젖탱이는 인정 , 자연산에 크기도 존나 크고 모양도 , 문제는 면상",아..이분 볼때마다 심장이 뭉클해지네|0,HardcorePorno,에로망간,,,"""까러"",",ac발,개쇗,개섀끼,,@ㅐ미
,버러지들,ㄹㅇ 시위 진압 ㅆㅅㅌㅊ였음|0,IJSEX,에로망가,,,"""깔어"",",ac팔,개쇗기,개세,,개새끼
,우주의 기운이나 받아라 멍충아,정재야 니 와그라노|0,IJ라이브,똥오줌,,,"""꺼져"",",anal,개쇠리,개세끼,,개돼지
,한번씩 바람쐬러 일본가는 데 일본 가보니깐 동네마다 복싱 체육관이 있더라 오사카 나니와구 가니깐 존나 후미진 공단에도 복싱체육관있음 진짜 울나라 80년대 쓰던 파랑색 날개 처 돌아가는 선풍기 하나 달린 개거지 같은 체육관에서 복싱하고 있는 거 봤다 개쪽바리 새끼들보면 복싱 엄청 좋아하는 듯복싱만화도 많고 이렇게 복싱 씹덕들이 많으니 발달 할 수 밖에 없는 것 같은데 그래봤자 뭐하냐핵폭탄 처 맞고 살가죽 녹아내린 새끼들인데,뭔가 잘못이해한거같은데 문희상 천황드립이란 소린 문희상이 천황으로 말해서 잘못했다는게 아니라(애초에 일왕이라고 함) 지금 천황이 전범 아들이니까 위안부에게 직접 사과시켜야한다는 말이 불러올 파장을 생각도 못하고 경솔하게 대처해서 빌미를 줬다는 말이야|0,IJ생방송,폰허브,,,"""껃여"",",annal,개쉐,개세이,,
,응 결혼해서 애낳는순간 칼각이고 지랄이고 그런 습관 다 없어짐.  돌아서면 아기가 씨발 다 해쳐놓는데 무슨 정리는 얼어죽을 정리,진짜 몇시간씩 할 정도면 히로뽕맞고 하는거일수도있다경교대있을때 뽕쟁이 재소자 의무실간다고 계호할때인데 내보고 히로뽕하는게 단순하게 기분 좋은것보다 목적이 ㅅㅅ라던데비아그라보다 효과 좋단다 ㅋㅋㅋ|1,IJ에로쇼,pornhub,,,"""껃져"",",anul,개쉐끼,개소리,,
,강사도 누구나 함 주둥이만있으면,"휴게소, 마트 등의 여성전용주차장 보고 분노를 해야지|0",IJ특별코너,히토미,,,"""껒여"",",arbeit macht frei,개쉐리,개쑈,,
,진이 과거에도 대놓고 욕했으면 질투로 안보고 열등감으로 안봄 아직도 이해안됨?ㅋㅋㅋㅋㅋㅋ,질렀으면 끝을 봐야지 ㅆㅂ 만나자해서 이야기해라 머리채 잡고 내가 너 좋와하면 안되냐 그담 허리띠를 풀고....|1,KRTV,hitomi,,,"""꼬봉"",",Arsch,개쉐이, 개쇳기,,
,운지햐라,앞머리 좀 자르던가 ㅅㅂ |1,Korea포르노,Hitomi,,,"""꼬우냐"",",Arse,개쉑,개수작,,
,아 이 개병신새끼씨발ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아 그런거야? ㅋㅋㅋ|0,MANABOZI,찐,,,"""꼬추"",",asshole,개쉑갸,개쉐,,
,전라도 홍어년놈들이 주는 거 사주는 거 사양하고 안 먹는 게 가장 안전하다,영혼까지팔아도 된다는놈일거야|0,MolcaPornoTV,찐따,,,"""꼬츄"",",auschwitz,개쉑기,개쉐리,,
,거기서는 남자들이 디엠보내고 따먹음 ㅇㅇ 너 얼굴이 1차적 공략법이지 다른 방도는 없음 걸레들이 외모 더 따짐,그때 조언했으면 멱살부터 잡을놈이ㅋㅋ|1,MolcaTV,은따,,,"""꼳츄"",",ausschwitz,개쉑꺄,개쉐이,,
,저런애들이 아다랑 스시녀 찾았던 거냐?,남친이노?|0,Molcanara,-찐-,,,"""꼳휴"",",Baiser,개쉑끼,개쉑,,
